id,name,depth
5,Verband,1
12,Heimaufsicht,3
13,Stiftung des Privatrechts,2
14,Stiftung des öffentlichen Rechts,2
15,Hochschule,2
19,Ausländerbehörde,1
20,Landwirtschaft,2
22,Veterinäramt,2
25,Amtsgericht,3
26,Gericht,2
27,Kammer,1
28,Apothekerkammer,2
29,Arbeitsgericht,3
30,Arbeitskammer,2
32,Architektenkammer,2
33,Ärztekammer,2
34,AStA,2
35,Berufsakademie,2
41,Stadtverwaltung,3
43,Universität,3
44,Bau- und Liegenschaftsbetrieb,2
45,Landeskriminalamt,2
47,Polizei,1
48,Akademie,2
49,Betrieb,1
50,Feuerwehr,1
52,Sparkasse,2
54,Verkehrsbetriebe,2
57,Berufsgenossenschaft,2
58,Bezirksamt,3
60,Bezirksregierung,2
66,Börse,1
68,IT-Dienstleister,2
74,Lotto,1
82,Wahlleiter,2
83,Zoll,1
84,Bürgermeister,3
85,Bürgerschaftsverwaltung,2
90,Justizvollzugsbeauftragte,3
93,Polizeipräsident,2
97,Rentenversicherung,2
98,Richterakademie,2
100,Theater,3
101,Stiftung,1
102,Medienanstalt,1
103,Dienstleistungszentrum,2
105,Kolleg,2
106,Einheitlicher Ansprechpartner,1
111,Rundfunkanstalt,2
113,Fachhochschule,3
117,Finanzgericht,3
118,Ministerium,1
120,Fischereiamt,2
121,Flughafen,3
122,Forstamt,3
126,Gemeindeverwaltung,2
133,Generalstaatsanwaltschaft,3
136,Gesundheitsamt,2
138,Gutachterausschuss,1
141,Handwerkskammer,2
145,Industrie- und Handelskammer,2
146,Ingenieurkammer,2
147,Investitionsbank,2
148,Jugendarrestanstalt,4
149,Jugendstrafanstalt,4
151,Justizakademie,2
153,Justizvollzugsanstalt,3
155,Justizvollzugskrankenhaus,3
156,Justizvollzugsschule,3
160,Katastrophenschutz,2
164,Studentenwerk,3
170,Krankenhaus,1
171,Landkreisverwaltung,3
172,Krematorium,1
173,Kriminaldirektion,2
174,Kriminalinspektion,2
176,Gesundheit,1
179,Landesarchiv,2
187,Landesfeuerwehrschule,2
189,Landesfinanzschule,4
195,Landesprüfungsamt,2
197,Landesrechnungshof,2
198,Landesschule,3
208,Landgericht,3
213,Landwirtschaftskammer,2
217,Materialprüfungsamt,2
218,Messe,1
221,Bau,1
228,Ordnungsamt,1
230,Ortspolizeibehörde,2
231,Schule,2
236,Pflanzenschutzamt,2
237,Polizeidirektion,2
238,Polizei-Führungsakademie,2
239,Polizeipräsidium,2
240,Polizeiinspektion,2
241,Polizeiwache,2
243,Rundfunk,1
244,Rechenzentrum,1
245,Rechnungshof,1
246,Rechtsanwaltskammer,2
249,Investitionskreditbank,2
251,Notarkammer,2
253,Schulamt,2
256,Selbsthilfegruppen,2
259,Krankenkasse,2
260,Sozialgericht,3
263,Sozialversicherung,1
265,Staatliches Berufskolleg,3
272,Staatsanwaltschaft,2
273,Staatskanzlei,2
275,Stadtbibliothek,2
280,Stadtwerke,2
282,Standesamt,3
287,Struktur- und Genehmigungsdirektion,1
291,Tierärztekammer,2
293,Umweltamt,2
294,Unfallkasse,2
296,Verbraucherzentrale,2
297,Verfassungsgericht,3
299,Verkehrsdirektion,2
325,Verwaltungsschule,2
327,Medizinisches Zentrum,2
330,Agentur für Arbeit,1
331,Jobcenter,1
332,Regionaldirektion der Agentur für Arbeit,2
335,Forst und Wald,2
336,Regionalforstamt,3
337,Parks und Gärten,1
338,Politische Bildung,1
339,Landeszentrale für politische Bildung,2
340,Sport und Freizeit,1
341,Bäderbetriebe,2
342,Wasser und Schifffahrt,1
345,Wasserstraßen-Neubauamt,2
346,Wasser- und Schiffahrtsamt,2
347,Wasserwirtschaft,2
348,Abfallwirtschaft,1
349,Abwasser,2
353,Antikorruption,1
354,Anzeigenblatt,1
355,Archäologie,2
356,Archiv,1
357,Staatsarchiv,2
358,Stadtarchiv,2
359,Arzneimittel und Medizin,2
360,Atomkraft,2
361,Endlagerung,3
364,Aus- und Weiterbildung,1
365,Lehramt,2
367,Lehrwerkstatt,2
368,Automobil,2
369,Bank,1
370,Entwicklungsbank,2
372,Förderbank,2
374,Bundeskasse,2
375,Bauaufsicht,2
376,Hochbau,2
377,Tiefbau,2
379,Bauamt,2
380,Behindertenbeauftragte,2
381,Bürgerbeauftragte(r),2
384,Beirat,2
386,Beratungsstelle,2
387,Bergbau und Geologie,2
388,Berufsbildung,2
389,Bewährungshilfe,2
390,Bibliothek,1
391,Hochschulbibliothek,2
392,Staatsbibliothek,2
395,Boden,2
396,Bundeswehr,1
397,Militärische Ausbildungsstätte,2
399,Bundeswehrkrankenhaus,2
400,Bundeswehrverwaltungsstelle,2
401,Bürgeramt,2
402,Bußgeldstelle,2
405,Denkmäler,1
406,Gedenkstätte,2
408,Dienstleistung,1
409,Energie,1
410,Ernährung,2
411,EU,1
412,Familie,2
413,Fernverkehr,2
414,Flug,3
415,Bahn,3
416,Autobahndirektion,3
417,Luftverkehr,3
421,Forschung,1
422,Helmholtz-Zentrum,2
424,Leibniz-Institut,2
427,Nationalpark,3
428,Frauen,3
430,Führerscheinstelle,2
434,Geheimdienst,1
435,Verfassungsschutz,2
437,Geoinformationen,2
439,Anwaltsgericht,3
442,Gestüte,2
443,Gewerbe,1
444,Gewerbeamt,2
445,Gewerbeaufsicht,2
447,GIZ,2
448,Gleichstellung,2
449,Haushalt und Steuern,1
450,Studierendenwerk,3
451,Akademie der Künste,3
452,Kunsthochschule,3
455,Technische Hochschule,3
456,Technische Universität,4
457,Hochschule für öffentliche Verwaltung,3
458,Hochschule für Medien,3
459,Pädagogische Hochschule,3
460,Studienkolleg,3
461,Studierendenparlament,3
462,Integration,2
463,Internationale Beziehungen,1
464,Jagdamt,2
465,Jugend,3
466,Jugendamt,4
468,Steuerberaterkammer,2
469,Psychotherapeutenkammer,2
470,Baukammer,2
471,Zahnärztekammer,2
472,Vergabekammer,2
473,Lotsenkammer,2
475,Wirtschaftsprüferkammer,2
479,Kirche,1
480,Kita,3
481,Medien,1
482,Kommunale Verwaltung,1
484,Kommunaler Verband,1
485,Städtetag,2
486,Bezirketag,2
487,Landkreistag,2
489,Konferenz,1
490,Universitätsklinikum,2
491,Kultur,1
492,Kulturamt,2
493,Kunst,2
494,Musik,3
495,Film,3
496,Galerie,3
497,Oper,3
498,Ausstellungen,3
499,Landesbotschaft,1
500,Ländliche Entwicklung,2
502,Liegenschaften,1
503,Liegenschaftsamt,2
504,Mess- und Eichwesen,1
505,Eichamt,2
506,Meteorologie,1
507,Münzerei,1
508,Museum und Ausstellungen,3
510,Nahverkehr,2
511,Betriebshof,3
512,Schiffsnahverkehr,3
513,Straßenbahn,3
516,Ortsamt,1
517,Pädagogik,2
518,Park,2
519,Zoologischer Garten,2
520,Parlamentsverwaltung,1
521,Landtagsverwaltung,2
522,Kreistagsverwaltung,2
523,Passwesen,1
525,Patente,1
526,Personal,1
527,Kreispolizei,2
528,Bereitschaftspolizei,2
529,Wasserschutzpolizei,2
531,Bundespolizei,2
533,Prüfungsamt,1
534,Rechnungsprüfungsamt,2
535,Rechnungswesen,1
538,Rechtsmedizin,2
539,Regierungspräsidium,1
540,Register,1
541,Regulierungsbehörde,1
542,Regulierungskammer,2
543,Rettung,1
544,Schloss,1
545,Lehrerfortbildung,2
546,Abendschule,3
547,Berufsschule,3
548,Volkshochschule,3
550,Förderschule,3
551,Schutz,1
552,Arbeitsschutz,2
553,Gesundheitsschutz,2
554,Senioren,3
555,Sozialamt,2
556,Sozialer Dienst der Justiz,2
557,Versorgungskammer,2
559,Familienkasse,2
560,Sprachen,2
563,Stadtenwicklungsamt,2
565,Wasserwerk,3
567,Statistik,1
568,Politische Stiftung,2
569,Straßen und Grünflächen,1
570,Technologie,1
571,Daten,2
572,Telekommunikation,1
573,THW,1
574,Tourismus,1
575,TÜV,3
577,Umweltschutz,2
579,Verbraucherschutzamt,2
580,Verein,1
581,Vergabe,1
582,Verkehr,1
583,Verkehrsamt,2
584,Versicherung,2
585,Versorgungsamt,2
589,Wahlen,1
590,Wahlamt,2
591,Hafen,2
592,Wettbewerbsbehörde,1
594,Wirtschaftsförderung,1
597,Wohnungsgesellschaft,2
598,Zentralverband,2
599,Hauptzollamt,2
600,Zollfahndungsamt,2
604,Zulassung,3
606,Justiz,1
607,Justizvollzug,2
608,Verbraucher,1
612,Bezirksverwaltung,3
614,Natur,1
619,Bürger,1
620,Soziales,1
624,Regionalplanung,1
625,Musikhochschule,3
626,Gymnasium,3
627,Finanzamt,1
628,Oberverwaltungsgericht,4
629,Kommunalaufsicht,1
630,Bundesanstalt,1
631,Sozialwerk,1
634,Verwaltungsverbund,1
635,Beauftragte für Datenschutz und Informationsfreiheit,3
636,Beauftragte,1
637,Immissionsschutz,3
638,Beauftragte für Datenschutz,2
639,Landesbeauftragte für Datenschutz und Informationsfreiheit,4
640,Landesbeauftragte für Datenschutz,3
641,Unternehmen,1
642,Grundschule,3
643,Integrierte Sekundarschule,3
644,Gemeinschaftsschule,3
645,Berufliches Gymnasium,3
646,Freie Waldorfschule,3
647,Ausländische Schule,3
649,Verwaltungsgericht,4
650,Bundesverwaltungsgericht,4
651,Landessozialgericht,4
652,Militärische Mission,2
653,Kreisfreie Stadt,3
654,Kreisverwaltung,2
655,Finanzamt für Groß- und Konzernbetriebsprüfung,2
656,Gemeinsames Kommunalunternehmen,2
657,Verkehrsverbund,2
