id,name,jurisdiction_id
8976,"Ministerium für Kultus, Jugend und Sport Baden-Württemberg",91
11210,Bayerisches Staatsministerium für Unterricht und Kultus,92
6667,Senatorin für Kinder und Bildung Bremen,12
17788,Stadtverwaltung Waiblingen Ausländeramt,91
10286,"Niedersächsisches Ministerium für Ernährung, Landwirtschaft und Verbraucherschutz",93
10937,Stadt Chemnitz,89
16154,Landesinstitut für Schulqualität und Lehrerbildung Sachsen-Anhalt,13
4023,Polizei Hamburg,5
92,Bundesministerium für Gesundheit,1
85,Bundesministerium der Justiz,1
15584,Bundesstadt Bonn - Lebensmittelüberwachungsamt,2
3679,"Landesamt für Bergbau, Geologie und Rohstoffe",3
14444,"Senatsverwaltung für Umwelt, Mobilität, Verbraucher- und Klimaschutz",4
117,Bundeszentrale für Kinder- und Jugendmedienschutz,1
17531,Stadtwerke Bonn Konzern,2
16324,Vermögen und Bau Baden-Württemberg Amt Freiburg,91
7858,Amtsgericht Heidelberg,91
3982,"Behörde für Arbeit, Gesundheit, Soziales, Familie und Integration",5
305,Bundesbeauftragter für den Datenschutz und die Informationsfreiheit,1
5170,Landkreis Vorpommern-Rügen,7
3964,Verkehrslenkung Berlin,4
3009,Ministerium für Schule und Bildung des Landes Nordrhein-Westfalen,2
116,Bundespräsidialamt,1
14702,Ordnungs- und Verkehrsdienst der Stadt Köln,2
15301,Kreisverwaltung Neuwied - Referat Verbraucherschutz,6
7172,Der Landrat des Kreises Stormarn,11
15573,Rhein-Sieg-Kreis - Amt für Veterinärwesen und Lebensmittelkontrolle,2
96,Bundesministerium für Wirtschaft und Klimaschutz,1
646,Konrad-Adenauer-Stiftung e.V.,1
16769,Die Autobahn GmbH des Bundes,1
9932,"Hessisches Ministerium für Wirtschaft, Energie, Verkehr und Wohnen",94
4579,Kreisverwaltung Ahrweiler,6
14399,Sächsisches Staatsministerium des Innern,89
7714,Rheinisch-Westfälische Technische Hochschule Aachen,2
275,Bundesamt für Sicherheit in der Informationstechnik,1
16475,Landeszentrum Gesundheit Nordrhein-Westfalen (LZG.NRW),2
136,Bundesverwaltungsamt,1
3830,Die Berliner Beauftragte für Datenschutz und Informationsfreiheit,4
9934,Hessisches Ministerium für Soziales und Integration,94
50265,Ordnungsamt Lichtenberg,4
3898,Landesamt für Gesundheit und Soziales Berlin,4
50009,Stadt Greifswald,7
34204,Stadt Paderborn,2
48866,FITKO (Föderale IT-Kooperation) AöR,94
99,Bundesnetzagentur,1
11200,Bayerisches Landesamt für Umwelt,92
16266,Hessisches Ministerium für Digitale Strategie und Entwicklung,94
6992,"Thüringer Ministerium für Migration, Justiz und Verbraucherschutz",10
7004,Thüringer Landtag,10
3738,"Ministerium für Bildung, Jugend und Sport Brandenburg",3
18976,Rudolf-Virchow-Schule (Berlin),4
14714,Ministerium für Verkehr des Landes Nordrhein-Westfalen,2
3033,Polizeipräsidium Köln,2
3006,Ministerium des Innern des Landes Nordrhein-Westfalen,2
5274,Finanzministerium Mecklenburg-Vorpommern,7
3920,Senatsverwaltung für Finanzen,4
285,Bundesanstalt für Finanzdienstleistungsaufsicht,1
16280,Polizeipräsidium Südhessen,94
16014,Europäische Zentralbank,107
49976,Straßen- und Grünflächenamt Charlottenburg Wilmersdorf,4
6453,Unabhängiges Datenschutzzentrum Saarland,9
3836,Deutsche Rentenversicherung Berlin-Brandenburg,4
4656,"Ministerium für Klimaschutz, Umwelt, Energie und Mobilität",6
49907,"Amt für Kinder, Jugend und Familie Köln",2
48965,Polizeipräsidium Osthessen,94
3986,Behörde für Schule und Berufsbildung,5
86,Bundesministerium der Verteidigung,1
89,Bundesministerium für Bildung und Forschung,1
8949,Landratsamt Lörrach,91
19157,Bauaufsichtsamt Köln,2
15100,Landeshauptstadt Erfurt - Amt für Soziales und Gesundheit,10
250,Bundesagentur für Arbeit,1
